id,internship_role,branch,required_skills,interest,min_cgpa,mode,location
1,AI Intern,Computer,Python;Machine Learning;Pandas,AI,6.0,Remote,Pune
2,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,6.5,Hybrid,Mumbai
3,Python Developer Intern,Electronics,Python;OOP,Software,7.0,Onsite,Bengaluru
4,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,7.5,Remote,Hyderabad
5,Java Developer Intern,Civil,Java;OOP,Software,8.0,Hybrid,Chennai
6,Cyber Security Intern,Electrical,Linux;Networking,Security,8.5,Onsite,Delhi
7,Cloud Intern,AI & DS,AWS;Linux,Cloud,9.0,Remote,Noida
8,Android Developer Intern,ECE,Java;Kotlin,Mobile,6.0,Hybrid,Ahmedabad
9,UI/UX Intern,Computer,Figma;Canva,Design,6.5,Onsite,Kolkata
10,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,7.0,Remote,Nagpur
11,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,7.5,Hybrid,Pune
12,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,8.0,Onsite,Mumbai
13,Python Developer Intern,Civil,Python;OOP,Software,8.5,Remote,Bengaluru
14,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,9.0,Hybrid,Hyderabad
15,Java Developer Intern,AI & DS,Java;OOP,Software,6.0,Onsite,Chennai
16,Cyber Security Intern,ECE,Linux;Networking,Security,6.5,Remote,Delhi
17,Cloud Intern,Computer,AWS;Linux,Cloud,7.0,Hybrid,Noida
18,Android Developer Intern,IT,Java;Kotlin,Mobile,7.5,Onsite,Ahmedabad
19,UI/UX Intern,Electronics,Figma;Canva,Design,8.0,Remote,Kolkata
20,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,8.5,Hybrid,Nagpur
21,AI Intern,Civil,Python;Machine Learning;Pandas,AI,9.0,Onsite,Pune
22,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,6.0,Remote,Mumbai
23,Python Developer Intern,AI & DS,Python;OOP,Software,6.5,Hybrid,Bengaluru
24,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,7.0,Onsite,Hyderabad
25,Java Developer Intern,Computer,Java;OOP,Software,7.5,Remote,Chennai
26,Cyber Security Intern,IT,Linux;Networking,Security,8.0,Hybrid,Delhi
27,Cloud Intern,Electronics,AWS;Linux,Cloud,8.5,Onsite,Noida
28,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,9.0,Remote,Ahmedabad
29,UI/UX Intern,Civil,Figma;Canva,Design,6.0,Hybrid,Kolkata
30,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,6.5,Onsite,Nagpur
31,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,7.0,Remote,Pune
32,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,7.5,Hybrid,Mumbai
33,Python Developer Intern,Computer,Python;OOP,Software,8.0,Onsite,Bengaluru
34,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,8.5,Remote,Hyderabad
35,Java Developer Intern,Electronics,Java;OOP,Software,9.0,Hybrid,Chennai
36,Cyber Security Intern,Mechanical,Linux;Networking,Security,6.0,Onsite,Delhi
37,Cloud Intern,Civil,AWS;Linux,Cloud,6.5,Remote,Noida
38,Android Developer Intern,Electrical,Java;Kotlin,Mobile,7.0,Hybrid,Ahmedabad
39,UI/UX Intern,AI & DS,Figma;Canva,Design,7.5,Onsite,Kolkata
40,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,8.0,Remote,Nagpur
41,AI Intern,Computer,Python;Machine Learning;Pandas,AI,8.5,Hybrid,Pune
42,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,9.0,Onsite,Mumbai
43,Python Developer Intern,Electronics,Python;OOP,Software,6.0,Remote,Bengaluru
44,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,6.5,Hybrid,Hyderabad
45,Java Developer Intern,Civil,Java;OOP,Software,7.0,Onsite,Chennai
46,Cyber Security Intern,Electrical,Linux;Networking,Security,7.5,Remote,Delhi
47,Cloud Intern,AI & DS,AWS;Linux,Cloud,8.0,Hybrid,Noida
48,Android Developer Intern,ECE,Java;Kotlin,Mobile,8.5,Onsite,Ahmedabad
49,UI/UX Intern,Computer,Figma;Canva,Design,9.0,Remote,Kolkata
50,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,6.0,Hybrid,Nagpur
51,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,6.5,Onsite,Pune
52,Data Analyst Intern,Mechanical,Python;SQL;Excel,Analytics,7.0,Remote,Mumbai
53,Python Developer Intern,Civil,Python;OOP,Software,7.5,Hybrid,Bengaluru
54,Web Developer Intern,Electrical,HTML;CSS;JavaScript,Web,8.0,Onsite,Hyderabad
55,Java Developer Intern,AI & DS,Java;OOP,Software,8.5,Remote,Chennai
56,Cyber Security Intern,ECE,Linux;Networking,Security,9.0,Hybrid,Delhi
57,Cloud Intern,Computer,AWS;Linux,Cloud,6.0,Onsite,Noida
58,Android Developer Intern,IT,Java;Kotlin,Mobile,6.5,Remote,Ahmedabad
59,UI/UX Intern,Electronics,Figma;Canva,Design,7.0,Hybrid,Kolkata
60,Business Analyst Intern,Mechanical,Excel;SQL;Power BI,Analytics,7.5,Onsite,Nagpur
61,AI Intern,Civil,Python;Machine Learning;Pandas,AI,8.0,Remote,Pune
62,Data Analyst Intern,Electrical,Python;SQL;Excel,Analytics,8.5,Hybrid,Mumbai
63,Python Developer Intern,AI & DS,Python;OOP,Software,9.0,Onsite,Bengaluru
64,Web Developer Intern,ECE,HTML;CSS;JavaScript,Web,6.0,Remote,Hyderabad
65,Java Developer Intern,Computer,Java;OOP,Software,6.5,Hybrid,Chennai
66,Cyber Security Intern,IT,Linux;Networking,Security,7.0,Onsite,Delhi
67,Cloud Intern,Electronics,AWS;Linux,Cloud,7.5,Remote,Noida
68,Android Developer Intern,Mechanical,Java;Kotlin,Mobile,8.0,Hybrid,Ahmedabad
69,UI/UX Intern,Civil,Figma;Canva,Design,8.5,Onsite,Kolkata
70,Business Analyst Intern,Electrical,Excel;SQL;Power BI,Analytics,9.0,Remote,Nagpur
71,AI Intern,AI & DS,Python;Machine Learning;Pandas,AI,6.0,Hybrid,Pune
72,Data Analyst Intern,ECE,Python;SQL;Excel,Analytics,6.5,Onsite,Mumbai
73,Python Developer Intern,Computer,Python;OOP,Software,7.0,Remote,Bengaluru
74,Web Developer Intern,IT,HTML;CSS;JavaScript,Web,7.5,Hybrid,Hyderabad
75,Java Developer Intern,Electronics,Java;OOP,Software,8.0,Onsite,Chennai
76,Cyber Security Intern,Mechanical,Linux;Networking,Security,8.5,Remote,Delhi
77,Cloud Intern,Civil,AWS;Linux,Cloud,9.0,Hybrid,Noida
78,Android Developer Intern,Electrical,Java;Kotlin,Mobile,6.0,Onsite,Ahmedabad
79,UI/UX Intern,AI & DS,Figma;Canva,Design,6.5,Remote,Kolkata
80,Business Analyst Intern,ECE,Excel;SQL;Power BI,Analytics,7.0,Hybrid,Nagpur
81,AI Intern,Computer,Python;Machine Learning;Pandas,AI,7.5,Onsite,Pune
82,Data Analyst Intern,IT,Python;SQL;Excel,Analytics,8.0,Remote,Mumbai
83,Python Developer Intern,Electronics,Python;OOP,Software,8.5,Hybrid,Bengaluru
84,Web Developer Intern,Mechanical,HTML;CSS;JavaScript,Web,9.0,Onsite,Hyderabad
85,Java Developer Intern,Civil,Java;OOP,Software,6.0,Remote,Chennai
86,Cyber Security Intern,Electrical,Linux;Networking,Security,6.5,Hybrid,Delhi
87,Cloud Intern,AI & DS,AWS;Linux,Cloud,7.0,Onsite,Noida
88,Android Developer Intern,ECE,Java;Kotlin,Mobile,7.5,Remote,Ahmedabad
89,UI/UX Intern,Computer,Figma;Canva,Design,8.0,Hybrid,Kolkata
90,Business Analyst Intern,IT,Excel;SQL;Power BI,Analytics,8.5,Onsite,Nagpur
91,AI Intern,Electronics,Python;Machine Learning;Pandas,AI,9.0,Remote,Pune
